Method 1_Time / min,Method 1_Absorbance / mAu,Method 2_Time / min,Method 2_Absorbance / mAu,Method 3_Time / min,Method 3_Absorbance / mAu,Method 4_Time / min,Method 4_Absorbance / mAu,Method 5_Time / min,Method 5_Absorbance / mAu,Method 6_Time / min,Method 6_Absorbance / mAu,Method 7_Time / min,Method 7_Absorbance / mAu,Method 8_Time / min,Method 8_Absorbance / mAu,Method 9_Time / min,Method 9_Absorbance / mAu,Method 10_Time / min,Method 10_Absorbance / mAu,Method 11_Time / min,Method 11_Absorbance / mAu,Method 12_Time / min,Method 12_Absorbance / mAu,Method 13_Time / min,Method 13_Absorbance / mAu,Method 14_Time / min,Method 14_Absorbance / mAu,Method 15_Time / min,Method 15_Absorbance / mAu,Method 16_Time / min,Method 16_Absorbance / mAu,Method 17_Time / min,Method 17_Absorbance / mAu,Method 18_Time / min,Method 18_Absorbance / mAu,Method 19_Time / min,Method 19_Absorbance / mAu,Method 20_Time / min,Method 20_Absorbance / mAu,Method 21_Time / min,Method 21_Absorbance / mAu,Method 22_Time / min,Method 22_Absorbance / mAu,Method 23_Time / min,Method 23_Absorbance / mAu,Method 24_Time / min,Method 24_Absorbance / mAu,Method 25_Time / min,Method 25_Absorbance / mAu,Method 26_Time / min,Method 26_Absorbance / mAu,Method 27_Time / min,Method 27_Absorbance / mAu,Method 28_Time / min,Method 28_Absorbance / mAu,Method 29_Time / min,Method 29_Absorbance / mAu,Method 30_Time / min,Method 30_Absorbance / mAu,Method 31_Time / min,Method 31_Absorbance / mAu,Method 32_Time / min,Method 32_Absorbance / mAu,Method 33_Time / min,Method 33_Absorbance / mAu,Method 34_Time / min,Method 34_Absorbance / mAu,Method 35_Time / min,Method 35_Absorbance / mAu,Method 36_Time / min,Method 36_Absorbance / mAu,Method 37_Time / min,Method 37_Absorbance / mAu,Method 38_Time / min,Method 38_Absorbance / mAu,Method 39_Time / min,Method 39_Absorbance / mAu,Method 40_Time / min,Method 40_Absorbance / mAu
0.00416667,0,0.00291667,0,0.00625,0,0.00291667,0,0.00166667,0,0.00333333,0,0.00041667,0,0.00541667,0,0.0025,0,0.0041667,0,0.0025,0,0.00291667,0,0.00291667,0,0.0016667,0,0.0016667,0,0.005,0,0.000416667,0,0.00041667,0,0.00083333,0,0.00083333,0,0.00083333,0,0.0025,0,0.0029167,0,0.00125,0,0.00125,0,0.005,0,0.00166667,0,0.005,0,0.0054167,0,0.000416667,0,0.00375,0,0.0058333,0,0.00416667,0,0.000833333,0,0.00625,0,0.00125,0,0.0016667,0,0.00333333,0,0.005,0,0.00375,0
0.0108333,0.0005429418,0.00958333,0.005774926,0.012917,0.00148075,0.00958333,-0.0005923001,0.00833333,0.005133268,0.01,0.001382034,0.0070833,0.002813425,0.0120833,0.002862784,0.0091667,0.0006910168,0.010833,0.00266535,0.00916667,0.001233959,0.00958333,0.00148075,0.00958333,0.004689042,0.0083333,0.003010859,0.0083333,0.002319842,0.0116667,0.001431392,0.00708333,0.001382034,0.0070833,-0.001036525,0.0075,0.001579467,0.0075,0.001875617,0.0075,0.002221125,0.00916667,0.002566634,0.0095833,0.003751234,0.0079167,0.0007897335,0.0079167,0.003455084,0.011667,0.006762093,0.00833333,0.0007403751,0.0116667,0.001036525,0.012083,0.0001974334,0.00708333,0.003356367,0.0104167,0.00148075,0.0125,0.001233959,0.0108333,-0.000148075,0.0075,0.0017769,0.0129167,0.0004935834,0.0079167,0.002418559,0.0083333,0.003158934,0.01,0.0006910168,0.0116667,0.002023692,0.010417,0.003849951
0.0175,0.001135242,0.01625,0.01090819,0.019583,0.002813425,0.01625,-0.001135242,0.015,0.01061204,0.0166667,0.003307009,0.01375,0.005182626,0.01875,0.006169793,0.015833,0.001628825,0.0175,0.005380059,0.0158333,0.002122409,0.01625,0.00266535,0.01625,0.00923001,0.015,0.005873643,0.015,0.004491609,0.0183333,0.00266535,0.01375,0.002122409,0.01375,-0.0011846,0.014167,0.003109576,0.014167,0.003849951,0.014167,0.004392892,0.0158333,0.004738401,0.01625,0.007847976,0.014583,0.001332675,0.014583,0.007058243,0.018333,0.01342547,0.015,0.001085884,0.0183333,0.002023692,0.01875,0.0005429418,0.01375,0.006515301,0.0170833,0.002764067,0.019167,0.002270484,0.0175,-0.0004442251,0.0141667,0.003603159,0.0195833,0.001036525,0.014583,0.004540967,0.015,0.005923001,0.0166667,0.001875617,0.0183333,0.003948667,0.017083,0.007354393
0.0241667,0.001036525,0.0229167,0.01461007,0.02625,0.003109576,0.0229167,-0.001924975,0.0216667,0.01673248,0.0233333,0.004837117,0.020417,0.007551826,0.0254167,0.008736426,0.0225,0.002171767,0.024167,0.007206318,0.0225,0.002418559,0.0229167,0.003158934,0.0229167,0.01268509,0.021667,0.008736426,0.021667,0.006564659,0.025,0.002517275,0.0204167,0.002615992,0.020417,0.0005923001,0.020833,0.004639684,0.020833,0.005725568,0.020833,0.006564659,0.0225,0.006120434,0.022917,0.01150049,0.02125,0.001628825,0.02125,0.01041461,0.025,0.01841066,0.0216667,0.0011846,0.025,0.001974334,0.025417,-0.0001974334,0.0204167,0.009674235,0.02375,0.003109576,0.025833,0.002517275,0.0241667,-0.0009871668,0.0208333,0.005330701,0.02625,0.001036525,0.02125,0.006416584,0.021667,0.008588351,0.0233333,0.002862784,0.025,0.004935834,0.02375,0.009575518
0.0308333,-9.871668e-05,0.0295833,0.01584403,0.032917,0.002714709,0.0295833,-0.003899309,0.0283333,0.0221619,0.03,0.004935834,0.027083,0.009328727,0.0320833,0.0100691,0.029167,0.001579467,0.030833,0.007403751,0.0291667,0.001332675,0.0295833,0.003060217,0.0295833,0.01426456,0.028333,0.01021718,0.028333,0.007008885,0.0316667,0.001085884,0.0270833,0.002270484,0.027083,0.002566634,0.0275,0.005528134,0.0275,0.006564659,0.0275,0.007601185,0.0291667,0.005923001,0.029583,0.01382034,0.027917,0.0005429418,0.027917,0.01238894,0.031667,0.02127345,0.0283333,4.935834e-05,0.0316667,0.001085884,0.032083,-0.002467917,0.0270833,0.01154985,0.0304167,0.002319842,0.0325,0.002023692,0.0308333,-0.002122409,0.0275,0.006021718,0.0329167,0.0003455084,0.027917,0.007058243,0.028333,0.009970385,0.03,0.002912142,0.0316667,0.004343534,0.030417,0.009674235
0.0375,-0.002122409,0.03625,0.01470879,0.039583,0.001530109,0.03625,-0.007650543,0.035,0.026308,0.0366667,0.003553801,0.03375,0.01021718,0.03875,0.009970385,0.035833,-9.871668e-05,0.0375,0.006268509,0.0358333,-0.0007897335,0.03625,0.002566634,0.03625,0.01357354,0.035,0.009970385,0.035,0.005725568,0.0383333,-0.001530109,0.03375,0.0007897335,0.03375,0.003948667,0.034167,0.005824284,0.034167,0.006268509,0.034167,0.007255676,0.0358333,0.004392892,0.03625,0.01461007,0.034583,-0.00207305,0.034583,0.01258638,0.038333,0.02196446,0.035,-0.002270484,0.0383333,-0.0006416584,0.03875,-0.006120434,0.03375,0.01219151,0.0370833,0.0005923001,0.039167,0.001036525,0.0375,-0.003849951,0.0341667,0.005774926,0.0395833,-0.0008390918,0.034583,0.006071076,0.035,0.009575518,0.0366667,0.001431392,0.0383333,0.002221125,0.037083,0.00774926
0.0441667,-0.004392892,0.0429167,0.01229023,0.04625,0.0006910168,0.0429167,-0.01189536,0.0416667,0.02956565,0.0433333,0.002171767,0.040417,0.01026654,0.0454167,0.00982231,0.0425,-0.002319842,0.044167,0.005083909,0.0425,-0.003208292,0.0429167,0.002023692,0.0429167,0.01233959,0.041667,0.008785785,0.041667,0.003751234,0.045,-0.003553801,0.0404167,-0.00148075,0.040417,0.004985192,0.040833,0.005478776,0.040833,0.005281343,0.040833,0.005824284,0.0425,0.002467917,0.042917,0.01530109,0.04125,-0.005330701,0.04125,0.01154985,0.045,0.02211254,0.0416667,-0.005429418,0.045,-0.00207305,0.045417,-0.00952616,0.0404167,0.01224087,0.04375,-0.0007403751,0.045833,0.0003948667,0.0441667,-0.005528134,0.0408333,0.005330701,0.04625,-0.001628825,0.04125,0.004491609,0.041667,0.008292201,0.0433333,-0.0002467917,0.045,9.871668e-05,0.04375,0.005281343
0.0508333,-0.006515301,0.0495833,0.01036525,0.052917,0.0004935834,0.0495833,-0.01515301,0.0483333,0.03385982,0.05,0.002023692,0.047083,0.01041461,0.0520833,0.01001974,0.049167,-0.003751234,0.050833,0.004491609,0.0491667,-0.005034551,0.0495833,0.001826259,0.0495833,0.01189536,0.048333,0.008489635,0.048333,0.002467917,0.0516667,-0.004935834,0.0470833,-0.003208292,0.047083,0.008440276,0.0475,0.005577493,0.0475,0.004985192,0.0475,0.004639684,0.0491667,0.001233959,0.049583,0.01712734,0.047917,-0.00774926,0.047917,0.01076012,0.051667,0.02226061,0.0483333,-0.007946693,0.0516667,-0.003109576,0.052083,-0.01204344,0.0470833,0.01307996,0.0504167,-0.001036525,0.0525,0.000148075,0.0508333,-0.006811451,0.0475,0.005725568,0.0529167,-0.001875617,0.047917,0.003553801,0.048333,0.00774926,0.05,-0.001283317,0.0516667,-0.00148075,0.050417,0.003208292
0.0575,-0.008440276,0.05625,0.00923001,0.059583,0.0007403751,0.05625,-0.01781836,0.055,0.03894373,0.0566667,0.002517275,0.05375,0.01071076,0.05875,0.0100691,0.055833,-0.004491609,0.0575,0.003899309,0.0558333,-0.006515301,0.05625,0.00207305,0.05625,0.011846,0.055,0.008440276,0.055,0.001431392,0.0583333,-0.005972359,0.05375,-0.004096742,0.05375,0.01451135,0.054167,0.006021718,0.054167,0.004985192,0.054167,0.003849951,0.0558333,0.0008390918,0.05625,0.01944719,0.054583,-0.009476802,0.054583,0.01021718,0.058333,0.02221125,0.055,-0.009921027,0.0583333,-0.003751234,0.05875,-0.01401777,0.05375,0.01441264,0.0570833,-0.0005429418,0.059167,0.0002467917,0.0575,-0.007650543,0.0541667,0.006465943,0.0595833,-0.00207305,0.054583,0.002813425,0.055,0.007551826,0.0566667,-0.002221125,0.0583333,-0.002813425,0.057083,0.001332675
0.0641667,-0.009871668,0.0629167,0.008884501,0.06625,0.0009871668,0.0629167,-0.02043435,0.0616667,0.04397828,0.0633333,0.003208292,0.060417,0.01080948,0.0654167,0.009624877,0.0625,-0.004540967,0.064167,0.003307009,0.0625,-0.007699901,0.0629167,0.002517275,0.0629167,0.01174729,0.061667,0.00804541,0.061667,0.0004935834,0.065,-0.006762093,0.0604167,-0.004491609,0.060417,0.02230997,0.060833,0.006663376,0.060833,0.005034551,0.060833,0.003356367,0.0625,0.001085884,0.062917,0.02171767,0.06125,-0.01100691,0.06125,0.009723593,0.065,0.0215696,0.0616667,-0.01145114,0.065,-0.003998026,0.065417,-0.0153998,0.0604167,0.01604146,0.06375,0.00029615,0.065833,0.0006910168,0.0641667,-0.008094768,0.0608333,0.007354393,0.06625,-0.002122409,0.06125,0.002023692,0.061667,0.00715696,0.0633333,-0.003060217,0.065,-0.004146101,0.06375,-0.0005923001
