Method 1_Time / min,Method 1_Absorbance / mAu,Method 2_Time / min,Method 2_Absorbance / mAu,Method 3_Time / min,Method 3_Absorbance / mAu,Method 4_Time / min,Method 4_Absorbance / mAu,Method 5_Time / min,Method 5_Absorbance / mAu,Method 6_Time / min,Method 6_Absorbance / mAu,Method 7_Time / min,Method 7_Absorbance / mAu,Method 8_Time / min,Method 8_Absorbance / mAu,Method 9_Time / min,Method 9_Absorbance / mAu,Method 10_Time / min,Method 10_Absorbance / mAu,Method 11_Time / min,Method 11_Absorbance / mAu,Method 12_Time / min,Method 12_Absorbance / mAu,Method 13_Time / min,Method 13_Absorbance / mAu,Method 14_Time / min,Method 14_Absorbance / mAu,Method 15_Time / min,Method 15_Absorbance / mAu,Method 16_Time / min,Method 16_Absorbance / mAu,Method 17_Time / min,Method 17_Absorbance / mAu,Method 18_Time / min,Method 18_Absorbance / mAu,Method 19_Time / min,Method 19_Absorbance / mAu,Method 20_Time / min,Method 20_Absorbance / mAu,Method 21_Time / min,Method 21_Absorbance / mAu,Method 22_Time / min,Method 22_Absorbance / mAu,Method 23_Time / min,Method 23_Absorbance / mAu,Method 24_Time / min,Method 24_Absorbance / mAu,Method 25_Time / min,Method 25_Absorbance / mAu,Method 26_Time / min,Method 26_Absorbance / mAu,Method 27_Time / min,Method 27_Absorbance / mAu,Method 28_Time / min,Method 28_Absorbance / mAu,Method 29_Time / min,Method 29_Absorbance / mAu,Method 30_Time / min,Method 30_Absorbance / mAu,Method 31_Time / min,Method 31_Absorbance / mAu,Method 32_Time / min,Method 32_Absorbance / mAu,Method 33_Time / min,Method 33_Absorbance / mAu,Method 34_Time / min,Method 34_Absorbance / mAu,Method 35_Time / min,Method 35_Absorbance / mAu,Method 36_Time / min,Method 36_Absorbance / mAu,Method 37_Time / min,Method 37_Absorbance / mAu,Method 38_Time / min,Method 38_Absorbance / mAu,Method 39_Time / min,Method 39_Absorbance / mAu,Method 40_Time / min,Method 40_Absorbance / mAu,Method 41_Time / min,Method 41_Absorbance / mAu,Method 42_Time / min,Method 42_Absorbance / mAu,Method 43_Time / min,Method 43_Absorbance / mAu,Method 44_Time / min,Method 44_Absorbance / mAu,Method 45_Time / min,Method 45_Absorbance / mAu,Method 46_Time / min,Method 46_Absorbance / mAu,Method 47_Time / min,Method 47_Absorbance / mAu,Method 48_Time / min,Method 48_Absorbance / mAu,Method 49_Time / min,Method 49_Absorbance / mAu,Method 50_Time / min,Method 50_Absorbance / mAu
0.005,0,0.00208333,0,0.0054167,0,0.00416667,0,0.0025,0,0.00458333,0,0.00625,0,0.00291667,0,0.00333333,0,0.00166667,0,0.00041667,0,0.00375,0,0.00375,0,0.0025,0,0.000833333,0,0.0045833,0,0.0045833,0,0.00125,0,0.00625,0,0.00166667,0,0.0016667,0,0.00541667,0,0.0020833,0,0.00375,0,0.00583333,0,0.00083333,0,0.00625,0,0.0029167,0,0.0045833,0,0.0045833,0,0.0033333,0,0.0033333,0,0.00666667,0,0.0020833,0,0.00041667,0,0.0020833,0,0.00416667,0,0.0058333,0,0.000833333,0,0.00291667,0,0.00625,0,0.00666667,0,0.005,0,0.0066667,0,0.0020833,0,0.00041667,0,0.0054167,0,0.0025,0,0.0025,0,0.00458333,0
0.0116667,0.001609675,0.00875,0.003454913,0.012083,0.001295592,0.0108333,0.002198581,0.00916667,0.001256332,0.01125,0.001452634,0.012917,0.002198581,0.00958333,0.001374113,0.01,0.001570415,0.00833333,0.001923758,0.0070833,0.002748226,0.0104167,0.002237841,0.010417,0.002355622,0.00916667,0.00106003,0.0075,0.00306231,0.01125,0.003376392,0.01125,0.001923758,0.0079167,0.000314083,0.0129167,0.00102077,0.00833333,0.002983788,0.0083333,0.0007066867,0.0120833,0.0008637282,0.00875,0.00310157,0.0104167,0.0002748226,0.0125,0.00102077,0.0075,0.00212006,0.012917,0.001727456,0.0095833,0.004711245,0.01125,0.001570415,0.01125,0.001531155,0.01,0.003337132,0.01,0.0003926037,0.0133333,0.001138551,0.00875,0.002866007,0.0070833,0.002826747,0.00875,0.004083079,0.0108333,0.002905268,0.0125,0.001138551,0.0075,0.003297871,0.00958333,0.004750505,0.012917,0.003297871,0.0133333,0.00212006,0.011667,0.002551924,0.013333,0.002434143,0.00875,0.001845238,0.0070833,0.002512664,0.012083,0.0006674264,0.00916667,0.003533434,0.00916667,0.001727456,0.01125,0.001256332
0.0183333,0.003690475,0.0154167,0.007027607,0.01875,0.002394883,0.0175,0.003768996,0.0158333,0.002748226,0.0179167,0.002591185,0.019583,0.00420086,0.01625,0.002394883,0.0166667,0.003062309,0.015,0.004004558,0.01375,0.005064588,0.0170833,0.004318641,0.017083,0.005103849,0.0158333,0.001845238,0.0141667,0.00565349,0.017917,0.007066867,0.017917,0.003690475,0.014583,-0.0002355622,0.0195833,0.001766717,0.015,0.005692754,0.015,0.00106003,0.01875,0.001452634,0.015417,0.00530015,0.0170833,0.0007066867,0.0191667,0.001648936,0.014167,0.003886777,0.019583,0.003415653,0.01625,0.00942249,0.017917,0.003415653,0.017917,0.002983788,0.016667,0.006909826,0.016667,0.001217072,0.02,0.001805977,0.015417,0.005378671,0.01375,0.004711245,0.015417,0.007498731,0.0175,0.005810535,0.019167,0.002159321,0.0141667,0.006360181,0.01625,0.008951365,0.019583,0.006203139,0.02,0.003533434,0.018333,0.00522163,0.02,0.004554203,0.015417,0.003454913,0.01375,0.004711245,0.01875,0.001177811,0.0158333,0.006360181,0.0158333,0.003768996,0.0179167,0.002983788
0.025,0.004671984,0.0220833,0.01036474,0.025417,0.002355622,0.0241667,0.003533434,0.0225,0.003808256,0.0245833,0.002277102,0.02625,0.004632724,0.0229167,0.002787487,0.0233333,0.004004558,0.0216667,0.00632092,0.020417,0.007106128,0.02375,0.005535713,0.02375,0.007027607,0.0225,0.001845238,0.0208333,0.0083232,0.024583,0.009658052,0.024583,0.004318641,0.02125,-0.001374113,0.02625,0.001570415,0.0216667,0.007891335,0.021667,0.0006674264,0.0254167,0.0006674264,0.022083,0.006635003,0.02375,0.0002748226,0.0258333,0.001570415,0.020833,0.00530015,0.02625,0.003454913,0.022917,0.01338779,0.024583,0.004475683,0.024583,0.00310157,0.023333,0.010404,0.023333,0.001766717,0.0266667,0.0009029886,0.022083,0.007145388,0.020417,0.005928316,0.022083,0.0100114,0.0241667,0.007498731,0.025833,0.001648936,0.0208333,0.008990626,0.0229167,0.01173885,0.02625,0.007223909,0.0266667,0.00314083,0.025,0.006635003,0.026667,0.004986067,0.022083,0.005064588,0.020417,0.007577252,0.025417,0.0003926037,0.0225,0.008283939,0.0225,0.005339411,0.0245833,0.004043819
0.0316667,0.003768996,0.02875,0.01173885,0.032083,0.00106003,0.0308333,0.0005889056,0.0291667,0.003572694,0.03125,0.0003926037,0.032917,0.003062309,0.0295833,0.002002279,0.03,0.00314083,0.0283333,0.00734169,0.027083,0.007537992,0.0304167,0.004986067,0.030417,0.006792045,0.0291667,0.0003926037,0.0275,0.00918693,0.03125,0.01028622,0.03125,0.003219351,0.027917,-0.004083079,0.0329167,0.0004711245,0.0283333,0.007891335,0.028333,-0.001648936,0.0320833,-0.001334853,0.02875,0.005889056,0.0304167,-0.001923758,0.0325,0.0009029886,0.0275,0.005535713,0.032917,0.002041539,0.029583,0.01480116,0.03125,0.004043819,0.03125,0.001531155,0.03,0.01236702,0.03,0.0005496452,0.0333333,-0.001609675,0.02875,0.006242399,0.027083,0.005143109,0.02875,0.009775833,0.0308333,0.007459471,0.0325,-0.0006674264,0.0275,0.009736573,0.0295833,0.01213146,0.032917,0.006163879,0.0333333,0.00106003,0.031667,0.00628166,0.033333,0.003376392,0.02875,0.00526089,0.027083,0.009029886,0.032083,-0.001884498,0.0291667,0.00840172,0.0291667,0.005025328,0.03125,0.003572694
0.0383333,0.00102077,0.0354167,0.01095364,0.03875,-0.00109929,0.0375,-0.004868286,0.0358333,0.002277102,0.0379167,-0.002866007,0.039583,0,0.03625,0.0001963019,0.0366667,0.000628166,0.035,0.007066867,0.03375,0.006124618,0.0370833,0.002748226,0.037083,0.004554203,0.0358333,-0.002198581,0.0341667,0.00781281,0.037917,0.008833584,0.037917,0.0001570415,0.034583,-0.00840172,0.0395833,-0.001256332,0.035,0.005653494,0.035,-0.005339411,0.03875,-0.004122339,0.035417,0.003297871,0.0370833,-0.005849796,0.0391667,-3.926037e-05,0.034167,0.004554203,0.039583,-0.0001570415,0.03625,0.01330927,0.037917,0.002316362,0.037917,-0.001334853,0.036667,0.01213146,0.036667,-0.002905268,0.04,-0.005025328,0.035417,0.002630445,0.03375,0.002551924,0.035417,0.006909826,0.0375,0.006163879,0.039167,-0.004475683,0.0341667,0.008676543,0.03625,0.010404,0.039583,0.003415653,0.04,-0.001884498,0.038333,0.004279381,0.04,0.0001963019,0.035417,0.003768996,0.03375,0.00836246,0.03875,-0.00522163,0.0358333,0.006752784,0.0358333,0.002748226,0.0379167,0.001334853
0.045,-0.00109929,0.0420833,0.009383229,0.045417,-0.002708966,0.0441667,-0.01107143,0.0425,0.0008637282,0.0445833,-0.005614233,0.04625,-0.002041539,0.0429167,-0.001491894,0.0433333,-0.001805977,0.0416667,0.00632092,0.040417,0.003572694,0.04375,0.0005889056,0.04375,0.002551924,0.0425,-0.004789766,0.0408333,0.00530015,0.044583,0.007498731,0.044583,-0.003062309,0.04125,-0.01315223,0.04625,-0.002551924,0.0416667,0.002512664,0.041667,-0.009186927,0.0454167,-0.006046098,0.042083,0.0001570415,0.04375,-0.00950101,0.0458333,-0.0006674264,0.040833,0.002905268,0.04625,-0.001138551,0.042917,0.0106003,0.044583,0.0009815093,0.044583,-0.00318009,0.043333,0.01122847,0.043333,-0.007106128,0.0466667,-0.007498731,0.042083,-0.002355622,0.040417,-0.00102077,0.042083,0.00318009,0.0441667,0.00522163,0.045833,-0.007459471,0.0408333,0.006556482,0.0429167,0.008205418,0.04625,0.001648936,0.0466667,-0.003611954,0.045,0.002473404,0.046667,-0.002316362,0.042083,0.001491894,0.040417,0.006124618,0.045417,-0.007891335,0.0425,0.004593464,0.0425,-3.926037e-05,0.0445833,-0.0006674264
0.0516667,-0.002002279,0.04875,0.009226188,0.052083,-0.003690475,0.0508333,-0.01648936,0.0491667,7.852075e-05,0.05125,-0.007145388,0.052917,-0.002512664,0.0495833,-0.001805977,0.05,-0.002787487,0.0483333,0.006949086,0.047083,0.001884498,0.0504167,-0.0005103849,0.050417,0.0020808,0.0491667,-0.00628166,0.0475,0.0041616,0.05125,0.00730243,0.05125,-0.005182369,0.047917,-0.01621453,0.0529167,-0.003415653,0.0483333,0.0007852075,0.048333,-0.01154255,0.0520833,-0.006831305,0.04875,-0.001609675,0.0504167,-0.01169959,0.0525,-0.0009815093,0.0475,0.001688196,0.052917,-0.00106003,0.049583,0.008912105,0.05125,0.0003533434,0.05125,-0.003572694,0.05,0.01134625,0.05,-0.01036474,0.0533333,-0.009069146,0.04875,-0.00628166,0.047083,-0.003611954,0.04875,0.0009815093,0.0508333,0.005025328,0.0525,-0.009265448,0.0475,0.00522163,0.0495833,0.007027607,0.052917,0.000942249,0.0533333,-0.0041616,0.051667,0.001648936,0.053333,-0.004043819,0.04875,0.0004711245,0.047083,0.004986067,0.052083,-0.00942249,0.0491667,0.003611954,0.0491667,-0.001491894,0.05125,-0.001531155
0.0583333,-0.002277102,0.0554167,0.009854354,0.05875,-0.004357901,0.0575,-0.02147542,0.0558333,-0.000314083,0.0579167,-0.007695033,0.059583,-0.001884498,0.05625,-0.001177811,0.0566667,-0.002983788,0.055,0.008323199,0.05375,0.001138551,0.0570833,-0.00106003,0.057083,0.002277102,0.0558333,-0.007223909,0.0541667,0.00372974,0.057917,0.007145388,0.057917,-0.006399441,0.054583,-0.01766717,0.0595833,-0.0041616,0.055,-0.0003926037,0.055,-0.0126811,0.05875,-0.006949086,0.055417,-0.002434143,0.0570833,-0.01334853,0.0591667,-0.00102077,0.054167,0.00109929,0.059583,-0.0005103849,0.05625,0.007616513,0.057917,-0.0001570415,0.057917,-0.00318009,0.056667,0.01189589,0.056667,-0.01299518,0.06,-0.009893614,0.055417,-0.009108407,0.05375,-0.00526089,0.055417,-0.0001963019,0.0575,0.004789766,0.059167,-0.01044326,0.0541667,0.004357901,0.05625,0.006399441,0.059583,0.0009815093,0.06,-0.003965298,0.058333,0.001217072,0.06,-0.005143109,0.055417,0.000628166,0.05375,0.004671984,0.05875,-0.01012918,0.0558333,0.003337132,0.0558333,-0.002316362,0.0579167,-0.001963019
0.065,-0.002473404,0.0620833,0.0107966,0.065417,-0.004750505,0.0641667,-0.02599037,0.0625,-0.0003533434,0.0645833,-0.007577252,0.06625,-0.0006674264,0.0629167,-0.0001570415,0.0633333,-0.00310157,0.0616667,0.00946175,0.060417,0.0007852075,0.06375,-0.001413373,0.06375,0.002551924,0.0625,-0.007969856,0.0608333,0.00361195,0.064583,0.00628166,0.064583,-0.007184648,0.06125,-0.01829533,0.06625,-0.005182369,0.0616667,-0.001531155,0.061667,-0.0126811,0.0654167,-0.006713524,0.062083,-0.00314083,0.06375,-0.01480116,0.0658333,-0.00106003,0.060833,0.0009815093,0.06625,0.000314083,0.062917,0.006438701,0.064583,-0.0008244679,0.064583,-0.002591185,0.063333,0.01224924,0.063333,-0.01542933,0.0666667,-0.01028622,0.062083,-0.01103217,0.060417,-0.006635003,0.062083,-0.000942249,0.0641667,0.004083079,0.065833,-0.01158181,0.0608333,0.004122339,0.0629167,0.005928316,0.06625,0.001452634,0.0666667,-0.003415653,0.065,0.0009815093,0.066667,-0.005967577,0.062083,0.001138551,0.060417,0.004318641,0.065417,-0.0102077,0.0625,0.003219351,0.0625,-0.002905268,0.0645833,-0.002394883
